salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
212500,38407380,1,2,169,447,41,111,18,1,14,44,248,47,109,3,993,0,0,0,0,0,1,0,0,0,5772110,1547725,893422,18840,84.5,7,223.5,0,38.70246124,22,1.5,20.5,70.27796936,18.84422874,10.8778038,0,0,70.27796936,0,0,12.26669693
180000,38407380,1,2,87,278,25,70,14,3,1,21,252,14,20,2,977,0,0,1,0,0,0,0,1,0,5772110,1547725,893422,18840,43.5,0.5,139,0,33.45323563,10.5,1,12.5,70.27796936,18.84422874,10.8778038,0,10.8778038,0,0,18.84422874,12.10071182
3400000,18297546,1,7,789,2872,312,758,124,15,85,375,264,139,516,62,980,0,0,0,0,0,1,4,1,0,2438598,591440,1061846,15682,112.7142868,12.14285755,410.2857056,57.1428566,40.63370514,53.57143021,8.857142448,44.57143021,59.59597015,14.45397758,25.95005226,0,25.95005226,0,0,14.45397758,15.03928566
2.00E+06,18297546,1,2,45,66,7,12,1,0,1,4,182,10,22,0,1000,1,0,0,0,0,0,0,1,0,2438598,591440,1061846,15682,22.5,0.5,33,0,24.24242401,2,0,3.5,59.59597015,14.45397758,25.95005226,0,25.95005226,0,0,14.45397758,14.50865746
1250000,18297546,1,4,442,1617,230,419,69,22,35,209,259,122,383,46,973,0,0,0,0,1,0,0,1,0,2438598,591440,1061846,15682,110.5,8.75,404.25,0,39.39393997,52.25,11.5,57.5,59.59597015,14.45397758,25.95005226,0,25.95005226,0,0,14.45397758,14.03865433
825000,18297546,1,6,528,1608,178,395,60,7,8,130,246,159,203,32,970,0,0,1,0,0,0,2,0,0,2438598,591440,1061846,15682,88,1.333333373,268,33.33333206,30.65920448,21.66666603,5.333333492,29.66666603,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,13.62313843
750000,18297546,1,7,701,2088,275,610,110,11,21,254,292,347,248,5,989,0,0,0,1,0,0,0,0,0,2438598,591440,1061846,15682,100.1428604,3,298.2857056,0,38.55363846,36.2857132,0.714285731,39.2857132,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,13.52782822
2.00E+05,18297546,1,5,478,1348,155,351,69,9,26,123,260,112,218,59,972,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,95.59999847,5.199999809,269.6000061,0,38.27893066,24.60000038,11.80000019,31,59.59597015,14.45397758,25.95005226,14.45397758,0,0,25.95005226,0,12.20607281
190000,18297546,1,2,168,421,42,114,23,2,3,42,271,67,84,9,957,0,1,0,0,0,0,0,0,0,2438598,591440,1061846,15682,84,1.5,210.5,0,35.62945557,21,4.5,21,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,12.15477943
138000,18297546,1,3,109,330,19,71,10,1,8,33,215,23,61,0,987,0,0,0,0,0,1,0,0,0,2438598,591440,1061846,15682,36.33333206,2.666666746,110,0,32.42424393,11,0,6.333333492,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,11.83500862
136000,18297546,1,2,86,197,19,44,8,1,4,27,223,24,62,0,1000,0,0,0,0,1,0,0,0,0,2438598,591440,1061846,15682,43,2,98.5,0,33.50253677,13.5,0,9.5,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,11.82040977
125000,18297546,1,2,37,111,13,28,7,2,0,11,252,10,28,0,992,0,0,0,0,1,0,0,0,0,2438598,591440,1061846,15682,18.5,0,55.5,0,35.13513565,5.5,0,6.5,59.59597015,14.45397758,25.95005226,0,0,59.59597015,0,0,11.73606873
123000,18297546,1,1,32,99,14,29,6,0,0,7,293,11,13,0,967,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,32,0,99,0,35.3535347,7,0,14,59.59597015,14.45397758,25.95005226,14.45397758,0,0,25.95005226,0,11.71993923
123000,18297546,1,3,38,77,9,16,3,0,0,4,208,9,10,12,1000,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,12.66666698,0,25.66666603,0,24.67532539,1.333333373,4,3,59.59597015,14.45397758,25.95005226,14.45397758,0,0,25.95005226,0,11.71993923
3.00E+06,14671833,1,4,433,1481,207,409,79,9,58,212,276,137,324,54,990,0,0,0,0,1,0,1,0,0,NA,38645,NA,17889,108.25,14.5,370.25,25,45.91492081,53,13.5,51.75,NA,NA,NA,NA,NA,NA,NA,NA,14.91412258
1537500,14671833,1,3,415,1592,234,433,62,18,21,152,272,215,355,144,972,0,1,0,0,0,0,0,0,1,NA,38645,NA,17889,138.3333282,7,530.666687,0,37.31155777,50.66666794,48,78,NA,NA,NA,NA,NA,NA,NA,NA,14.24566841
1500000,14671833,1,4,431,1573,230,422,78,17,24,136,268,115,231,177,983,0,0,0,0,1,0,0,0,0,NA,38645,NA,17889,107.75,6,393.25,0,38.52511215,34,44.25,57.5,NA,NA,NA,NA,NA,NA,NA,NA,14.22097588
210000,14671833,1,2,131,361,57,100,28,3,9,56,277,25,49,16,979,0,0,0,0,1,0,0,0,1,NA,38645,NA,17889,65.5,4.5,180.5,0,44.59833908,28,8,28.5,NA,NA,NA,NA,NA,NA,NA,NA,12.25486279
170000,14671833,1,4,145,389,22,92,19,2,4,41,237,21,49,0,994,0,0,0,0,0,1,0,0,0,NA,38645,NA,17889,36.25,1,97.25,0,32.6478157,10.25,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,12.04355335
142500,14671833,1,2,126,274,25,64,12,3,5,28,234,25,54,3,987,0,0,0,0,1,0,0,0,0,NA,38645,NA,17889,63,2.5,137,0,35.40145874,14,1.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,11.8670969
126500,14671833,1,1,45,126,17,38,4,1,2,8,302,9,31,0,947,0,0,1,0,0,0,0,1,0,NA,38645,NA,17889,45,2,126,0,39.68254089,8,0,17,NA,NA,NA,NA,NA,NA,NA,NA,11.74799728
117500,14671833,1,2,34,83,5,15,2,0,1,4,181,8,26,0,957,0,0,0,0,1,0,0,0,0,NA,38645,NA,17889,17,0.5,41.5,0,24.09638596,2,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,11.67419338
115000,14671833,1,1,37,74,7,14,5,0,3,14,189,9,18,1,986,0,0,0,0,0,1,0,0,0,NA,38645,NA,17889,37,3,74,0,37.83783722,14,1,7,NA,NA,NA,NA,NA,NA,NA,NA,11.65268707
6200000,38553668,1,7,1046,3732,572,1040,224,37,135,596,279,463,570,32,958,0,0,0,0,1,0,4,0,1,12699119,3289465,2777951,19683,149.4285736,19.2857151,533.1428833,57.1428566,46.70418167,85.14286041,4.571428776,81.7142868,67.66896057,17.52835655,14.80268478,17.52835655,0,0,14.80268478,0,15.64005947
3375000,38553668,1,16,2444,9124,1343,2646,462,32,414,1562,290,1147,1224,90,993,1,0,0,0,0,0,8,0,1,12699119,3289465,2777951,19683,152.75,25.875,570.25,50,48.37790298,97.625,5.625,83.9375,67.66896057,17.52835655,14.80268478,17.52835655,0,0,14.80268478,0,15.03190613
2312500,38553668,1,8,1021,4042,648,1071,124,62,18,255,265,380,716,610,974,0,0,0,0,1,0,2,0,1,12699119,3289465,2777951,19683,127.625,2.25,505.25,25,33.9683342,31.875,76.25,81,67.66896057,17.52835655,14.80268478,17.52835655,0,0,14.80268478,0,14.65384007
2300000,38553668,1,10,1328,5132,675,1465,251,70,48,479,285,396,480,181,980,0,0,1,0,0,0,4,1,0,12699119,3289465,2777951,19683,132.8000031,4.800000191,513.2000122,40,38.97116089,47.90000153,18.10000038,67.5,67.66896057,17.52835655,14.80268478,0,14.80268478,0,0,17.52835655,14.64841938
2150000,38553668,1,11,1279,4309,672,1092,225,17,204,672,252.9999847,576,1891,213,939,0,0,0,1,0,0,2,0,0,12699119,3289465,2777951,19683,116.272728,18.54545403,391.7272644,18.18181801,45.55581284,61.09090805,19.36363602,61.09090805,67.66896057,17.52835655,14.80268478,0,0,67.66896057,0,0,14.58097839
650000,38553668,1,9,930,2935,384,817,131,29,37,265,278,221,266,82,985,0,0,0,0,1,0,0,0,0,12699119,3289465,2777951,19683,103.3333359,4.111111164,326.1111145,0,38.05792236,29.44444466,9.111110687,42.66666794,67.66896057,17.52835655,14.80268478,0,0,67.66896057,0,0,13.38472748
635000,38553668,1,10,411,1004,133,251,30,6,12,96,250,95,183,60,959,0,0,0,1,0,0,0,0,1,12699119,3289465,2777951,19683,41.09999847,1.200000048,100.4000015,0,32.76892471,9.600000381,6,13.30000019,67.66896057,17.52835655,14.80268478,17.52835655,0,0,14.80268478,0,13.36138058
5.00E+05,38553668,1,7,339,889,87,182,48,3,12,92,205,87,11,0,988,0,0,0,0,0,1,0,0,0,12699119,3289465,2777951,19683,48.42856979,1.714285731,127,0,30.59617615,13.14285755,0,12.4285717,67.66896057,17.52835655,14.80268478,0,0,67.66896057,0,0,13.12236309
475000,38553668,1,6,533,1555,199,422,70,8,8,136,271,127,195,19,993,0,0,0,0,1,0,0,0,0,12699119,3289465,2777951,19683,88.83333588,1.333333373,259.1666565,0,34.21221924,22.66666603,3.166666746,33.16666794,67.66896057,17.52835655,14.80268478,0,0,67.66896057,0,0,13.07106972
195000,38553668,1,3,180,485,45,97,23,1,8,41,200,31,108,3,995,0,0,0,0,0,1,0,0,0,12699119,3289465,2777951,19683,60,2.666666746,161.6666718,0,30.10309219,13.66666698,1,15,67.66896057,17.52835655,14.80268478,0,0,67.66896057,0,0,12.18075466
109000,38553668,1,1,30,108,15,24,7,1,3,10,222,8,24,2,988,0,0,0,0,1,0,0,0,1,12699119,3289465,2777951,19683,30,3,108,0,38.88888931,10,2,15,67.66896057,17.52835655,14.80268478,17.52835655,0,0,14.80268478,0,11.59910297
2466667,27037334,1,8,931,3219,533,916,190,28,52,283,285,384,342,220,989,0,0,0,0,1,0,1,0,0,4540541,1100347,225868,18431,116.375,6.5,402.375,12.5,40.94439316,35.375,27.5,66.625,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,14.71837807
2450000,27037334,1,7,930,2946,434,875,142,29,79,446,297,473,530,48,994,1,0,0,0,0,0,2,0,0,4540541,1100347,225868,18431,132.8571472,11.28571415,420.8571472,28.5714283,44.5349617,63.7142868,6.857142925,62,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,14.7115984
2416667,27037334,1,9,706,2114,263,492,105,9,75,309,233,341,441,32,986,0,0,0,0,0,1,1,0,0,4540541,1100347,225868,18431,78.44444275,8.333333015,234.8888855,11.11111069,39.73509979,34.33333206,3.555555582,29.22222137,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,14.69789982
2.00E+06,27037334,1,7,788,2830,368,722,123,27,53,253,255,146,536,147,959,0,0,0,0,1,0,0,1,0,4540541,1100347,225868,18431,112.5714264,7.571428776,404.2857056,0,37.38515854,36.1428566,21,52.57143021,77.39440918,18.75562859,3.849964142,0,3.849964142,0,0,18.75562859,14.50865746
1375000,27037334,1,9,980,2982,398,838,124,35,37,258,281,251,498,191,981,0,0,0,0,1,0,0,0,1,4540541,1100347,225868,18431,108.8888855,4.111111164,331.3333435,0,38.32997894,28.66666603,21.22222137,44.22222137,77.39440918,18.75562859,3.849964142,18.75562859,0,0,3.849964142,0,14.13396454
1050000,27037334,1,7,904,3135,402,772,154,15,146,470,246,280,979,29,964,0,0,0,0,1,0,0,0,0,4540541,1100347,225868,18431,129.1428528,20.8571434,447.8571472,0,44.46570969,67.14286041,4.142857075,57.42856979,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,13.86430073
1.00E+06,27037334,1,5,500,1697,207,477,98,7,41,245,281,62,233,10,993,1,0,0,0,0,0,0,0,1,4540541,1100347,225868,18431,100,8.199999809,339.3999939,0,41.9563942,49,2,41.40000153,77.39440918,18.75562859,3.849964142,18.75562859,0,0,3.849964142,0,13.81551075
6.00E+05,27037334,1,9,698,2144,251,594,121,23,25,237,277,150,228,67,987,0,0,0,0,1,0,0,0,0,4540541,1100347,225868,18431,77.55555725,2.777777672,238.222229,0,38.99253845,26.33333397,7.444444656,27.88888931,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,13.30468464
6.00E+05,27037334,1,3,284,851,136,224,38,6,38,129,263,103,164,10,950,0,0,0,1,0,0,0,0,0,4540541,1100347,225868,18431,94.66666412,12.66666698,283.6666565,0,45.59341812,43,3.333333254,45.33333206,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,13.30468464
3.00E+05,27037334,1,3,250,826,94,212,23,12,5,53,257,60,128,24,988,0,1,0,0,0,0,0,0,0,4540541,1100347,225868,18431,83.33333588,1.666666627,275.3333435,0,33.17191315,17.66666603,8,31.33333397,77.39440918,18.75562859,3.849964142,0,0,77.39440918,0,0,12.61153793
250000,27037334,1,3,195,704,86,176,37,3,24,95,250,42,137,17,978,0,0,0,0,1,0,0,0,1,4540541,1100347,225868,18431,65,8,234.6666718,0,41.33522797,31.66666603,5.666666508,28.66666603,77.39440918,18.75562859,3.849964142,18.75562859,0,0,3.849964142,0,12.42921638
150000,27037334,1,4,159,362,41,66,12,3,2,23,182,26,82,6,972,0,0,1,0,0,0,0,1,0,4540541,1100347,225868,18431,39.75,0.5,90.5,0,24.86187935,5.75,1.5,10.25,77.39440918,18.75562859,3.849964142,0,3.849964142,0,0,18.75562859,11.91839027
122500,27037334,1,2,54,163,11,34,4,0,1,11,209,5,26,0,930,0,0,1,0,0,0,0,0,1,4540541,1100347,225868,18431,27,0.5,81.5,0,25.15337372,5.5,0,5.5,77.39440918,18.75562859,3.849964142,18.75562859,0,0,3.849964142,0,11.71586609
4950000,22987668,1,10,1390,4737,720,1308,251,82,144,688,276,558,895,220,986,0,0,0,0,1,0,2,0,0,2041897,178857,12852,20207,139,14.39999962,473.7000122,20,45.49292755,68.80000305,22,72,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,15.41489792
2600000,22987668,1,7,669,2444,349,627,125,26,39,239,257,222,445,38,968,0,0,1,0,0,0,0,0,0,2041897,178857,12852,20207,95.57142639,5.571428776,349.1428528,0,37.68412399,34.1428566,5.428571224,49.8571434,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,14.77102184
2350000,22987668,1,9,736,2134,166,574,97,5,16,243,269,288,200,5,992,0,0,0,0,0,1,0,0,0,2041897,178857,12852,20207,81.77777863,1.777777791,237.1111145,0,34.16120148,27,0.555555582,18.44444466,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,14.66992569
1066667,22987668,1,11,1004,3071,320,859,193,26,59,351,280,219,438,16,985,0,0,0,0,0,1,0,0,0,2041897,178857,12852,20207,91.27272797,5.363636494,279.1818237,0,41.71279526,31.90909004,1.454545498,29.09090996,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,13.88004971
1.00E+06,22987668,1,15,1475,4888,853,1414,264,54,90,504,289,561,779,360,964,0,0,0,0,1,0,1,0,1,2041897,178857,12852,20207,98.33333588,6,325.8666687,6.666666508,42.06219482,33.59999847,24,56.86666489,91.41706085,8.007544518,0.575392425,8.007544518,0,0,0.575392425,0,13.81551075
675000,22987668,1,4,365,1175,149,270,52,7,37,155,230,82,155,14,975,0,0,0,1,0,0,0,0,0,2041897,178857,12852,20207,91.25,9.25,293.75,0,38.04255295,38.75,3.5,37.25,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,13.42246819
675000,22987668,1,6,431,931,120,232,39,2,29,123,249,116,137,15,983,0,0,0,0,1,0,0,0,1,2041897,178857,12852,20207,71.83333588,4.833333492,155.1666718,0,38.88292313,20.5,2.5,20,91.41706085,8.007544518,0.575392425,8.007544518,0,0,0.575392425,0,13.42246819
360000,22987668,1,10,952,2367,215,578,114,19,26,224,244,206,339,31,976,0,0,1,0,0,0,0,0,0,2041897,178857,12852,20207,95.19999695,2.599999905,236.6999969,0,34.13603592,22.39999962,3.099999905,21.5,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,12.79385948
305000,22987668,1,3,279,840,136,218,46,7,16,110,260,117,153,13,991,1,0,0,0,0,0,0,1,0,2041897,178857,12852,20207,93,5.333333492,280,0,38.80952454,36.66666794,4.333333492,45.33333206,91.41706085,8.007544518,0.575392425,0,0.575392425,0,0,8.007544518,12.62806702
120000,22987668,1,3,38,67,7,16,1,2,0,5,239,1,19,0,969,0,0,1,0,0,0,0,1,0,2041897,178857,12852,20207,12.66666698,0,22.33333397,0,31.3432827,1.666666627,0,2.333333254,91.41706085,8.007544518,0.575392425,0,0.575392425,0,0,8.007544518,11.6952467
112000,22987668,1,2,92,229,26,58,13,0,0,11,252.9999847,19,39,6,961,0,0,0,1,0,0,0,0,0,2041897,178857,12852,20207,46,0,114.5,0,31.00436592,5.5,3,13,91.41706085,8.007544518,0.575392425,0,0,91.41706085,0,0,11.62625408
109000,22987668,1,1,12,12,1,2,0,1,0,2,167,0,5,0,1000,0,0,0,0,1,0,0,0,1,2041897,178857,12852,20207,12,0,12,0,33.33333206,2,0,1,91.41706085,8.007544518,0.575392425,8.007544518,0,0,0.575392425,0,11.59910297
109000,22987668,1,1,10,7,2,4,0,0,0,4,571,2,0,1,800,0,0,0,1,0,0,0,0,1,2041897,178857,12852,20207,10,0,7,0,57.1428566,4,1,2,91.41706085,8.007544518,0.575392425,8.007544518,0,0,0.575392425,0,11.59910297
3897184,23387518,1,15,2208,8087,1079,2108,347,57,22,681,261,949,524,542,979,0,0,1,0,0,0,12,0,1,1985500,423182,26014,18595,147.1999969,1.466666698,539.1333618,80,32.58315659,45.40000153,36.13333511,71.93333435,81.5502243,17.3813076,1.06847012,17.3813076,0,0,1.06847012,0,15.17576504
2650000,23387518,1,6,617,2317,312,644,132,12,52,280,278,183,163,82,964,0,0,0,1,0,0,0,0,0,1985500,423182,26014,18595,102.8333359,8.666666985,386.1666565,0,41.26025009,46.66666794,13.66666698,52,81.5502243,17.3813076,1.06847012,0,0,81.5502243,0,0,14.79007053
2575000,23387518,1,6,508,1487,119,379,77,8,13,151,255,99,228,13,993,0,0,0,0,0,1,1,0,0,1985500,423182,26014,18595,84.66666412,2.166666746,247.8333282,16.66666603,34.36449051,25.16666603,2.166666746,19.83333397,81.5502243,17.3813076,1.06847012,0,0,81.5502243,0,0,14.76136017
2050000,23387518,1,9,1001,2780,288,726,94,19,12,224,261,380,331,33,983,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,111.2222214,1.333333373,308.8888855,0,32.15827179,24.88888931,3.666666746,32,81.5502243,17.3813076,1.06847012,0,1.06847012,0,0,17.3813076,14.53334999
1025000,23387518,1,4,453,1581,196,413,82,11,34,194,261,206,255,26,966,0,0,0,1,0,0,0,0,0,1985500,423182,26014,18595,113.25,8.5,395.25,0,39.1524353,48.5,6.5,49,81.5502243,17.3813076,1.06847012,0,0,81.5502243,0,0,13.84020329
966667,23387518,1,10,972,2890,346,761,134,11,52,357,263,289,327,140,987,1,0,0,0,0,0,0,0,1,1985500,423182,26014,18595,97.19999695,5.199999809,289,0,37.12802887,35.70000076,14,34.59999847,81.5502243,17.3813076,1.06847012,17.3813076,0,0,1.06847012,0,13.78160954
508333,23387518,1,3,297,1003,131,252,38,12,20,95,250.9999847,139,259,34,979,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,99,6.666666508,334.3333435,0,37.28813553,31.66666603,11.33333302,43.66666794,81.5502243,17.3813076,1.06847012,17.3813076,0,0,1.06847012,0,13.13889217
290000,23387518,1,3,343,1290,182,353,73,22,32,167,274,126,288,94,990,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,114.3333359,10.66666698,430,0,43.87596893,55.66666794,31.33333397,60.66666794,81.5502243,17.3813076,1.06847012,17.3813076,0,0,1.06847012,0,12.57763577
225000,23387518,1,3,174,418,46,101,20,2,22,63,242,36,81,1,983,0,0,0,0,0,1,0,1,0,1985500,423182,26014,18595,58,7.333333492,139.3333282,0,45.69377899,21,0.333333343,15.33333302,81.5502243,17.3813076,1.06847012,0,1.06847012,0,0,17.3813076,12.3238554
175000,23387518,1,3,230,716,95,193,31,8,13,66,270,86,90,38,982,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,76.66666412,4.333333492,238.6666718,0,38.96648026,22,12.66666698,31.66666603,81.5502243,17.3813076,1.06847012,17.3813076,0,0,1.06847012,0,12.07254124
170000,23387518,1,3,184,433,74,118,22,4,12,50,273,46,96,29,981,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,61.33333206,4,144.3333282,0,42.49422455,16.66666603,9.666666985,24.66666603,81.5502243,17.3813076,1.06847012,0,1.06847012,0,0,17.3813076,12.04355335
160000,23387518,1,3,234,630,51,141,22,15,3,56,224,60,91,3,976,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,78,1,210,0,32.06349182,18.66666603,1,17,81.5502243,17.3813076,1.06847012,0,1.06847012,0,0,17.3813076,11.98292923
3700000,37792000,1,6,701,2586,402,670,131,23,111,363,259,233,483,131,967,0,0,0,0,1,0,1,0,1,202017,736153,57169,15559,116.8333359,18.5,431,16.66666603,45.63031769,60.5,21.83333397,67,20.29630089,73.9600296,5.743671417,73.9600296,0,0,5.743671417,0,15.12384319
2815000,37792000,1,10,869,1996,381,513,53,10,6,123,257,208,264,305,987,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,86.90000153,0.600000024,199.6000061,0,30.26052094,12.30000019,30.5,38.09999847,20.29630089,73.9600296,5.743671417,73.9600296,0,0,5.743671417,0,14.85047245
2250000,37792000,1,9,1240,4659,596,1274,228,33,87,633,273,332,567,114,958,0,0,0,1,0,0,1,0,1,202017,736153,57169,15559,137.777771,9.666666985,517.666687,11.11111069,39.25735092,70.33333588,12.66666698,66.22222137,20.29630089,73.9600296,5.743671417,73.9600296,0,0,5.743671417,0,14.626441
2.00E+06,37792000,1,6,578,1769,237,464,90,15,49,207,262,194,357,25,959,0,0,1,0,0,0,0,0,0,202017,736153,57169,15559,96.33333588,8.166666985,294.8333435,0,41.32278061,34.5,4.166666508,39.5,20.29630089,73.9600296,5.743671417,0,0,20.29630089,0,0,14.50865746
1775000,37792000,1,4,396,1370,228,369,70,8,71,240,269,215,267,23,976,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,99,17.75,342.5,0,48.75912476,60,5.75,57,20.29630089,73.9600296,5.743671417,73.9600296,0,0,5.743671417,0,14.38931084
1600000,37792000,1,10,925,2770,311,726,172,11,81,413,262,306,398,43,991,1,0,0,0,0,0,0,0,0,202017,736153,57169,15559,92.5,8.100000381,277,0,41.98556137,41.29999924,4.300000191,31.10000038,20.29630089,73.9600296,5.743671417,0,0,20.29630089,0,0,14.28551388
1.00E+06,37792000,1,4,222,593,101,145,11,18,17,57,245,46,110,46,974,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,55.5,4.25,148.25,0,40.97807693,14.25,11.5,25.25,20.29630089,73.9600296,5.743671417,73.9600296,0,0,5.743671417,0,13.81551075
975000,37792000,1,6,379,1191,98,281,60,2,28,146,236,69,238,3,985,0,0,0,0,0,1,0,0,0,202017,736153,57169,15559,63.16666794,4.666666508,198.5,0,36.02014923,24.33333397,0.5,16.33333397,20.29630089,73.9600296,5.743671417,0,0,20.29630089,0,0,13.7901926
925000,37792000,1,4,331,1013,109,250,51,3,16,107,247,108,130,4,994,0,0,0,0,0,1,1,0,0,202017,736153,57169,15559,82.75,4,253.25,25,35.04442215,26.75,1,27.25,20.29630089,73.9600296,5.743671417,0,0,20.29630089,0,0,13.73754883
8.00E+05,37792000,1,11,777,1689,171,377,31,12,1,113,223,121,274,34,973,0,0,1,0,0,0,0,1,0,202017,736153,57169,15559,70.63636017,0.090909094,153.5454559,0,25.75488472,10.27272701,3.090909004,15.54545498,20.29630089,73.9600296,5.743671417,0,5.743671417,0,0,73.9600296,13.59236717
675000,37792000,1,7,562,1353,195,336,65,10,20,127,248,142,195,50,979,0,0,0,1,0,0,0,0,0,202017,736153,57169,15559,80.2857132,2.857142925,193.2857208,0,35.55062866,18.1428566,7.142857075,27.8571434,20.29630089,73.9600296,5.743671417,0,0,20.29630089,0,0,13.42246819
